Song Title,Artist,Duration,Genre,Mood,Popularity
Kabira, Rekha Bhardwaj and Tochi Raina,3.44,Filmi/pop,Happy,55
Subhanallah,Sreerama Chandra & Shilpa Rao,3.26,Filmi,Love,60
Tera fitoor, Arjit Singh,5.44, Filmi,Love,75
Paniyon Sa, Atif Aslam & Tulsi Kumar,3.2, Filmi,Love,80
Dekhte Dekhte, Atif Aslam ,4.2, Filmi,Sad,78
Jag Soona Soona Lage,Rahat Fateh Ali Khan,5.58,Filmi-sad,Sad,71
Channa Mereya,Arijit Singh,4.49,Filmi-sad,Sad,84
See You Again, Wiz Khalifa &  Charlie Puth,3.49,Hip-Hop,Sad,90
Sooraj Ki Baahon Mein,Shankar Ehsaan Roy,3.40,Party,Happy,57
Yun Hi Chala Chal Rahi,Kailash Kher,5.37,Motivate,Happy,64
Nazm Nazm,Arko Pravo Mukherjee,3.23,Filmi,Love,85
Brothers Anthem,Ajay-Atul,5.40,Motivate,Valor,82
Ruk Jana Nahi Tu Kahi Haar Ke,Kishor Kumar,4.58,Fimli-Motivate,Valor,42
Zinda Hai Toh,Prasoon Joshi ,3.30,Motivate,Valor,73
Besabriyaan, Arman Malik,4.16,Filmi/Motivate,Valor,68
Ghar Se Nikalte Hi,Amaan Malik,5.04,Filmi,Happy,78
Bhoot Hoon Main,Sunidhi Chauhan,3.29,Filmi,Horrific,45
Lautungi Main,Gulzar,2.32,Horror,Horrific,55
Aake Darr,Nitin Raikawar,4.27,Horror,Horrific,40
Bhayanak Atma,Nucleya,3.31,DJ,Horrific,81
Agar Tum Saath ho,Arijit Singh,5.30,Melody,Peace,79
Tose naina,Arijit Singh,4.24,Silent,Peace,83
Maahi Ve,A.R.Rahman,4.02,Silent,Peace,70
Ilahi,Arijit Singh,3.49,Melody,Peace,69
Mast Magan,Arijit Singh,4.41,Melody,Happy,56
Tera Hone Laga Hoon,Atif Aslam,4.40,Happy-Love,Surprise,86
Iktara,Kavita Seth,4.10,Filmi,Surprise,64
Nachdi Phira,Meghna Mishra,4.15,Filmi,Love,71
Taare Zameen Pe,Shankar Mahadevan,7.08,Filmi-sad,Sad,86
Lakshya,Shankar Mahadevan,6.09,Motivate,Valor,75
Jeete Hai Chal,Vishal Khurana,4.08,Motivate,Valor,57
Brazil(La La),Bazilia Party Squad,3.12,Party Song,Happy,78
Hawa Hawai,Kavita Krishnamurthy,2.58,Filmi,Happy,90
Afreen Afreen,Rahat Fateh Ali Khan,6.04,Melody,Love,91
Tune Jo Na Kaha,Mohit Chauhan,5.09,Filmi,Sad,74
Tera Woh Pyar(Nawazishein Karam),Momina and Asim,7.12,Melody,Love,71
Alizeh,Pritam,4.42,Filmi,Love,75
Dilbar,Neha Kakkar,3.03,Filmi,Happy,65
Bom Diggy Diggy,Zack Knight,3.58,Filmi,Happy,81
Shape Of You,Ed Sheeran,3.53,Party,Love,91
